file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,24cb9d12,shrutiy14,2025-01-17,15:23:39,-08:00,2025-01-17T15:23:39-08:00,0,5
style.css,2,css,c20c17eb,shrutiy14,2025-01-17,22:56:04,-08:00,2025-01-17T22:56:04-08:00,0,32
style.css,3,css,6a8365b7,shrutiy14,2025-01-17,22:07:26,-08:00,2025-01-17T22:07:26-08:00,0,16
style.css,4,css,6a8365b7,shrutiy14,2025-01-17,22:07:26,-08:00,2025-01-17T22:07:26-08:00,0,19
style.css,5,css,6a8365b7,shrutiy14,2025-01-17,22:07:26,-08:00,2025-01-17T22:07:26-08:00,0,15
style.css,6,css,6a8365b7,shrutiy14,2025-01-17,22:07:26,-08:00,2025-01-17T22:07:26-08:00,0,0
style.css,7,css,9e9e7a88,shrutiy14,2025-01-17,22:20:30,-08:00,2025-01-17T22:20:30-08:00,0,0
style.css,8,css,44e22b4a,shrutiy14,2025-01-24,19:41:54,-08:00,2025-01-24T19:41:54-08:00,0,9
style.css,9,css,9e9e7a88,shrutiy14,2025-01-17,22:20:30,-08:00,2025-01-17T22:20:30-08:00,0,17
style.css,10,css,9e9e7a88,shrutiy14,2025-01-17,22:20:30,-08:00,2025-01-17T22:20:30-08:00,0,0
style.css,11,css,9e9e7a88,shrutiy14,2025-01-17,22:20:30,-08:00,2025-01-17T22:20:30-08:00,0,0
style.css,12,css,9e9e7a88,shrutiy14,2025-01-17,22:20:30,-08:00,2025-01-17T22:20:30-08:00,0,7
style.css,13,css,9e9e7a88,shrutiy14,2025-01-17,22:20:30,-08:00,2025-01-17T22:20:30-08:00,0,17
style.css,14,css,44e22b4a,shrutiy14,2025-01-24,19:41:54,-08:00,2025-01-24T19:41:54-08:00,0,2
style.css,15,css,9e9e7a88,shrutiy14,2025-01-17,22:20:30,-08:00,2025-01-17T22:20:30-08:00,0,0
style.css,16,css,ac974d1a,shrutiy14,2025-01-17,23:33:24,-08:00,2025-01-17T23:33:24-08:00,0,0
style.css,17,css,ac974d1a,shrutiy14,2025-01-17,23:33:24,-08:00,2025-01-17T23:33:24-08:00,0,6
style.css,18,css,44e22b4a,shrutiy14,2025-01-24,19:41:54,-08:00,2025-01-24T19:41:54-08:00,0,37
style.css,19,css,44e22b4a,shrutiy14,2025-01-24,19:41:54,-08:00,2025-01-24T19:41:54-08:00,0,28
style.css,20,css,b3f8a91f,shrutiy14,2025-01-17,23:36:23,-08:00,2025-01-17T23:36:23-08:00,0,32
style.css,21,css,44e22b4a,shrutiy14,2025-01-24,19:41:54,-08:00,2025-01-24T19:41:54-08:00,0,40
style.css,22,css,44e22b4a,shrutiy14,2025-01-24,19:41:54,-08:00,2025-01-24T19:41:54-08:00,0,64
style.css,23,css,44e22b4a,shrutiy14,2025-01-24,19:41:54,-08:00,2025-01-24T19:41:54-08:00,0,24
style.css,24,css,ac974d1a,shrutiy14,2025-01-17,23:33:24,-08:00,2025-01-17T23:33:24-08:00,0,0
style.css,25,css,ac974d1a,shrutiy14,2025-01-17,23:33:24,-08:00,2025-01-17T23:33:24-08:00,0,0
style.css,26,css,44e22b4a,shrutiy14,2025-01-24,19:41:54,-08:00,2025-01-24T19:41:54-08:00,0,50
style.css,27,css,44e22b4a,shrutiy14,2025-01-24,19:41:54,-08:00,2025-01-24T19:41:54-08:00,0,14
